ID;MODELO;FORNECEDOR;ARM_DE_RECEBIMENTO;CODIGO;NIVEL;TRIAGEM_ESPECIAL;CONSUMO;ESTACAO;LADO;GRUPO_DE_ENVIO;CLASSIF;SUB_GRUPO_1;SUB_GRUPO_2;QUANT_MINIMA;QUANT_MAXIMA;QTD_ENVIO;LISTA_TRIAGEM;ETIQ_DESOVA;MODULO_FLOW_RACK;MODELO_CONCATENADO;QTY_KLT;FORNECEDOR_NAC;OBSERVACAO;ENTRADA;ALTERACAO;DESCRICAO;RECEITA;CLASSIF_1;PORTA;PTL;CODIGO_UNICO;USUARIO;QA_REPARO;SEQ_PBS;QTD_CASE;MODULO
19638;C928;CKD;RG LOG;0913642009S353;;(F05C04N2C);4;F16;;SACI MIUDEZA;LEV2+LEV4;M-09_N-05;F05C04N2C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;271;;3;;;19032026;25042026;PARAFUSO;;;;;196384;116267;;;;
19639;C928;CKD;RG LOG;3102023MK01;;;;PDI;;PESAGEM (MIUDEZA/PDI);LEV2;PDI;PDI;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;20032026;27042026;PRESILHA PLASTICA;;;;;19639;114232;;;;
19640;C928;CKD;RG LOG;3926001MK03;;;;PDI;;PDI;LEV2+LEV4;SEPARAÇÃO;SEPARAÇÃO;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;20032026;20032026;TRIANGULO;...;...;;;19640...;13187;;;;
19641;C928;CKD;RG LOG;5608900DS01AA;;;;PDI;;PDI;LEV2+LEV4;SEPARAÇÃO;SEPARAÇÃO;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;20032026;20032026;CAIXA DE FERRAMENTAS;...;...;;;19641...;13187;;;;
19642;C928;CKD;RG LOG;5510350DS01;1;;1;F20;LD;SUSHI BOX;LEV2+LEV4;RANGE 5;S01F11C28N1A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;20032026;6042026;ACABAMENTO DO COFRE DO MOTOR;C000;C000;;35;196421LDC00035;116874;;;;
19643;C928;CKD;RG LOG;5510360DS01;1;;1;F20;LD;SUSHI BOX;LEV2+LEV4;RANGE 5;S01F12C27N1A;;;;14-(180)_ENVIO DIRETO;14-(180)_ENVIO DIRETO;;;;;;20032026;3042026;ACABAMENTO DO COFRE DO MOTOR;;;;;196431LD;116874;;;;
19644;C928;CKD;RG LOG;B84845C7000;;;;PDI;;PDI;LEV2+LEV4;PDI;PDI;;;;14-(180)_ENVIO DIRETO;14-(180)_ENVIO DIRETO;;;;;;20032026;20032026;TAPETE;...;...;;;19644...;13187;;;;
19645;C928;CKD;RG LOG;0911606009S355;;(F07C02N2H);;SUB FEM;;SACI MIUDEZA;LEV2+LEV4;M-10_N-01;F07C02N2H;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;100;;1;;;20032026;25042026;"PARAFUSO COM ARRUELA	";;;;;19645;114232;;;;
19646;C928;CKD;RG LOG;0915906010S235;;(F04C03N2C);;SUB DISCO TRAS;;SACI MIUDEZA;LEV2+LEV4;M-10_N-01;F04C03N2C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;54;;3;;;20032026;25042026;PORCA;...;...;;;19646...;116267;;;;
19647;C928;CKD;RG LOG;0912806019S213;;(F05C05N3F);;T19;;SACI MIUDEZA;LEV2+LEV4;M-10_N-02;F05C05N3F;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;105;;3;;;20032026;25042026;PARAFUSO;...;...;;;19647...;116267;;;;
19648;C928;CKD;RG LOG;2915010DS01;;;;"SUB AGREGADO TRAS	";;SEQUENCIAMENTO 001;LEV2+LEV4;SEQUENCIAMENTO 001;KB_SEQUENCIAMENTO TNE;120;240;120;07-(001)_SEQUENCIAMENTO 001;07-(001)_SEQUENCIAMENTO 001;;;;;;20032026;6042026;AMORTECEDOR TRS. LE;G720+G740;G720+G740;;;19648G720+G740;117469;;55;60;
19649;S202;CKD;RG LOG;913606004;;(F05C04N1G);;T06;;SACI MIUDEZA;LEV2+LEV4;M-17_N-01;F05C04N1G;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;6;;3;;;20032026;20032026;PARAFUSO;...;...;;;19649...;13187;;;;
19650;C928;CKD;RG LOG;3608210AW01;2;;1;T06;LD;SUSHI BOX;LEV2+LEV4;RANGE 1;S01F11C06N2D;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;;;;20032026;20032026;ANTENA BAIXA FREQUENCIA;C000;C000;;64;196501LDC00064;116874;;;;
19651;C928;CKD;RG LOG;940907206;;(F04C01N3B);;T06;;SACI MIUDEZA;LEV2+LEV4;M-15_N-04;F04C01N3B;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;89;;3;89;;20032026;27042026;GRAMPO DE PLASTICO;...;...;;;19651...;114232;;;;
19652;C928;CKD;RG LOG;0910306017S235;;(F05C09N2A);1;SUB MOTOR;;PESAGEM (MIUDEZA/WH001);LEV2+LEV4;M-10_N-03;F05C09N2A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;275;;3;;;21032026;27042026;PARAFUSO;;;;;196521;116267;;;;
19653;C928;CKD;RG LOG;0911806002S345;;(F04C06N1A);1;SUB MOTOR;;PESAGEM (MIUDEZA/WH001);LEV2+LEV4;M-10_N-03;F04C06N1A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;275;;3;;;21032026;27042026;PARAFUSO;...;...;;;196531...;116267;;;;
19654;C928;CKD;RG LOG;0912806002S343;;(F07C05N2A);2;SUB PAINEL;;SACI MIUDEZA;LEV2+LEV4;M-10_N-04;F07C05N2A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;35;;3;;;21032026;27042026;PARAFUSO;...;...;;;196542...;116267;;;;
19655;C928;CKD;RG LOG;0912806003S343;;(F07C05N1G);;SUB PAINEL;;SACI MIUDEZA;LEV2+LEV4;M-10_N-04;F07C05N1;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;248;;3;;;21032026;27042026;PARAFUSO;...;...;;;19655...;116267;;;;
19656;C928;CKD;RG LOG;913242002;;(F05C04N1C);2;SUB PAINEL;;SACI MIUDEZA;LEV2+LEV4;M-10_N-04;F05C04N1C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;38;;3;;;21032026;27042026;PARAFUSO;...;...;;;196562...;116267;;;;
19657;C928;CKD;RG LOG;0911606016S235;;(F07C02N2D);6;DOOWON;;SACI MIUDEZA;LEV2+LEV4;M-11_N-01;F07C02N2D;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;3;;;21032026;25042026;PARAFUSO DE FLANGE HEXAGONAL COM ARRUELAS LISAS;...;...;;;196576...;116267;;;;
19658;TIGGO 7 PRO;CKD;RGLOG;Q1831225TF61K;;(F01C06N2C);1;SUB MOTOR;;SACI MIUDEZA;48V_ADAS+ICE_LOW;M-29_N-01;F01C06N2C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;;;3;;;21032026;21032026;PARAFUSO DE FIXACAO;...;...;;;196581...;8155;;;;
19659;C928;CKD;RG LOG;0913642009S353;;(F05C04N2C);;SUB MOLDURA DE PLACA;;SACI MIUDEZA;LEV2+LEV4;M-10_N-02;F05C04N2C;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;226;;3;;;21032026;25042026;PARAFUSO;;;;;19659;116267;;;;
19660;C928;CKD;RG LOG;3903043DS01;;(F07C05N2D);;SUB MONTAGEM DE RODAS;;SACI MIUDEZA;LEV2+LEV4;M-10_N-03;F07C05N2D;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;74;;3;;;21032026;25042026;ETIQUETA PRESSÃO DOS PNEUS;...;...;;;19660...;116267;;;;
19661;C928;CKD;RG LOG;0912806002S343;;(F07C05N2A);;T04;;SACI MIUDEZA;LEV2+LEV4;M-15_N-04;F07C05N2A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;389;;3;;;21032026;13052026;PARAFUSO;...;...;;;19661...;116267;;;;
19662;C928;CKD;RG LOG;0911806002S345;;(F04C06N1A);;T06;;PESAGEM (MIUDEZA/WH001);LEV2+LEV4;M-15_N-04;F04C06N1A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;254;;3;;;21032026;1042026;PARAFUSO;...;...;;;19662...;114232;;;;
19663;C928;CKD;RG LOG;0915906012S345;;(F04C01N2F);;T05 / T06 / T08;;SACI MIUDEZA;LEV2+LEV4;M-15_N-03;F04C01N2F;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;254;;3;;;21032026;21032026;"PORCA DE FLANGE HEXAGONAL	";...;...;;;19663...;116267;;;;
19664;C928;CKD;RG LOG;940910403;;(F06C05N2B);;T04;;SACI MIUDEZA;LEV2+LEV4;M-23_N-05;F06C05N2B;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;389;;3;;;21032026;9052026;PRESILHA PLASTICA;;;;;19664;116267;;;;
19665;C928;CKD;RG LOG;"0915908005S345	";;(F06C08N2A);;T02;;SACI MIUDEZA;LEV2+LEV4;M-15_N-01;F06C08N2A;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;389;;3;;;21032026;21032026;PORCA;...;...;;;19665...;116267;;;;
19666;C928;CKD;RG LOG;0915906012S345;;(F04C01N2F);;T02;;SACI MIUDEZA;LEV2;M-15_N-01;F04C01N2F;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;389;;3;;;21032026;21032026;PORCA DE FLANGE HEXAGONAL;...;...;;;19666...;116267;;;;
19667;C928;CKD;RG LOG;0915906012S345;;(F04C01N2F);;T16;;SACI MIUDEZA;LEV4;M-14_N-04;F04C01N2F;;;;10-(180)_TRIAGEM;10-(180)_TRIAGEM;256;;3;;;21032026;21032026;PORCA DE FLANGE HEXAGONAL;...;...;;;19667...;116267;;;;
